S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
275,"NATH (STAR) COLD STORAGE,Canning & Ice Factory, Nath Mahal, Race Course, Rajkot - 360002.",311,Private,Multipurposeÿ,22.2737492,70.8116788
276,"VARUNÿ ICE & COLD STORAGE.,Opp. Premier Textile, Rajkot - 360003.",1254,Private,Potatoesÿ,22.27971835,70.8174384
277,"M.V. SHAH COLD STORAGE PVT. LTD.,Haripur, Ta. Lodhika.",3200,Private,Multipurpose,22.27971835,70.8174384
278,"GANDHI SPICES PVT. LTD.,(Cold Storage), Khandheri.",1900,Private,Multipurpose,22.37453,70.73424
279,"D.P. COLD STORAGE,Mathoda Ind. Estate, Rajkot.",2400,Private,Multipurpose,22.29161,70.79322
284,"PA COLD STORAGE,Upleta, Rajkot.",600,Cooperative,Multipurpose,21.7468656,70.2832391
285,"HASNAIN COLD STORAGE PVT. LTD., GIDC, Plot No. 1032, Rajkot.",1078,Private,Potatoesÿ,21.7141091,70.450236
286,MAHESH COLD STORAGEBehind G.I.D.C. Patan - 384 265.,2000,Private,Potatoes,23.853201,72.131401
287,"FREEZEWELL STORAGE NH - 8,ÿ Majara - Talod JunctionTajpur (ORAN) Ta. Prantij.",2306,Privateÿ,Potatoesÿ,23.41675,72.824876
288,"KISHAN COLD STORAGENear Bus Stand, Vadagam.",848,Privateÿ,Potatoesÿ,23.349158,73.131654
289,"SABAR COLD STORAGE PVT. LTD.Near Sabar Dairy, Talod Road,Himatnagar - 383001.",1734,Privateÿ,Potatoesÿ,23.349158,73.131654
290,"SABARKANTHA DIST. CO-OP. MILK PRODUCER'S UNION LTD.Sabar Dairy, Himatnagar.",1441,Cooperativeÿ,Dairy Productsÿ,23.591801,72.960197
291,"TORAN COLD STORAGE,Ranasan.",2800,Private,Multipurpose,23.108556,72.685947
292,"SABAR COLD STORAGE PVT. LTD.,Gadhoda.",2400,Private,Multipurpose,23.53562,72.980558
297,"UMA COLD STORAGE PVT. LTD.,Ranasan.",2640,Private,Multipurpose,23.2157258,73.2162532
298,"ADITYA ENTERTAINMENT PVT. LTD.,Vill. Tenpur, Ta Bayad.ÿ",2467,Private,Multipurpose,23.207891,73.003195
299,"SIDHPUR ICE FACTORY & COLD STORAGE PVT. LTDKhali Char Rasta,.Sidhpur.",4480,Private,Potatoes,23.207891,73.003195
300,"PADHIAR COLD STORAGE PVT. LTD.,Sidhpur (Patan).",7200,Private,Potatoes,23.9309164,72.3635155
301,"MAHESH COLD STORAGE, Patan.",2000,Private,Multipurpose,23.9309164,72.3635155
302,"HIMALAYA COLD STORAGE,Near Khali Char Rasta Highway,Vill. Brahmanwada, Sidhpur - 384151.",4000,Private,Potatoes,23.9309164,72.3635155
303,"PALADIYA COLD STORAGE PVT. LTD.,Brahmanwada, PATAN.",5148,Private,Multipurpose,23.9309164,72.3635155
304,"AMRIT ICE & COLD STORAGE,Beigumpura Road,Surat.",260,Private,Multipurposeÿ,23.8507,72.12963
305,"MEGHDOOT ICE & COLD STORAGE,Post. Saroli,Surat.",771,Private,Multipurposeÿ,23.8507,72.12963
306,"SURAT DIST. COOP. MILK PRODS. UNION LTD.,Sumul Dairy, Surat - 395008.",579,Cooperative,Dairy Products,23.8507,72.12963
307,"POOJA COLD STORAGE,Near Sayan sugar factory,Sanjan.",1800,Private,Multipurpose,23.8507,72.12963
308,"JANTA ICE FACTORY & COLD STORAGE.,Near Jawahar society,Surendranagar.",712,Private,Potatoes,23.8507,72.12963
309,"SURENDRANAGARÿ DAIRY,Gujarat Dairy Dev Corporation ltd.,Wadhwan Road, Wadhwan.",61,Public,Dairy Products,23.8507,72.12963
310,"HARI OHM COLD STORAGE,Shekhpur.",1360,Private,Multipurpose,23.8507,72.12963
311,"AMAR ICE & COLD STORAGE,Channi Road, Opp. Mona Tiles Factory, Baroda - 390002.",50,Private,Multipurpose,22.3501793,73.2009344
314,"GURU OM COLD STORAGE,At Manjusar, Savli, Baroda.",1881,Private,Potatoes,22.446764,73.19313
315,"JANARDAN COLD STORAGE CO. PVT. LTD.Opp. Alembic Overbridge,Channi Road, Baroda - 390002.",5600,Private,Potatoes,22.3501793,73.2009344
317,"PRAKASH ICE & COLD STORAGEBajwa Road, Chhani,Baroda - 390002.",1845,Private,Potatoes,22.3501793,73.2009344
318,"SHAKTIRAJ COLD STORAGE & ICE FACTORYNH No. 8 Post Sakarda Distt.,Baroda.",1088,Private,Multipurpose,22.3501793,73.2009344
320,"SHRI ARBUDA ICE & COLD STORAGE823-Power Cable Road,Baroda - 390002.",1130,Private,Potatoes,22.3501793,73.2009344
321,"SUGAM DAIRY,C/o. Baroda Dist. Co.Op. Milk Producers Union Ltd.,Baroda.",297,Co-operative,Dairy Products,22.3501793,73.2009344
322,"KISHAN COLD STORAGEMoksi Ta, Savli.",3285,Private,Potatoes,22.5598991,73.2222968
323,HIMGIRI FOODS PVT. LTD.Vadva Ta Karjun.,280,Private,Frozen Veg.,20.268104,73.286398
324,SAJAN COLD STORAGESama Dist.ÿ Vadodara.,1144,Private,Potatoesÿ,22.3111948,73.1819832
325,"MARUTI ICE AND COLD STORAGEDasrath, Vadodara.",2160,Private,Potatoes,22.3111948,73.1819832
327,"AMBICA COLD STORAGE,Mogar.",2880,Private,Potatoes,23.033788,73.047656
328,"SHAKUN COLD STORAGE PVT. LTD.,Mogar.",3600,Private,Potatoes,23.033788,73.047656
330,KISHAN COLD STORAGE Sankarda-Badarva RoadAT P.O-Mokshi Ta. Savli,4800,Private,Potatoes,22.5598991,73.2222968
331,THE NAVSARI ICE FACTORY LTD.Navsari - 396445.,58,Private,Multipurposeÿ,20.9258887,72.927494
332,VADILAL INDUSTRIES LTD.Dharampur Vill.,1264,Private,Dairy Products,20.9258887,72.927494
333,KWALITY FROZEN FOOD PVT. LTD.Vapi.,20,Private,Dairy Products,20.373308,72.9082597
334,"VALSAD DIST. CO-OP. MILK PRODUCERS UNION LTD.Alipur, Dist. Valsad.",32,Cooperative,Dairy Products,20.6099639,72.9306552
